"filename", "language", "XML", "JavaScript", "JavaScript JSX", "PostCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 89, 0, 0, 37, 126
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\eslint.config.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\package-lock.json", "JSON", 0, 0, 0, 0, 3215, 0, 0, 0, 1, 3216
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\package.json", "JSON", 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\public\favicon.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\public\icons.svg", "XML", 24, 0, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\App.css", "PostCSS", 0, 0, 0, 158, 0, 0, 0, 0, 27, 185
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\App.jsx", "JavaScript JSX", 0, 0, 140, 0, 0, 0, 0, 18, 32, 190
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\core\api.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\core\dbLocal.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 2, 4, 17
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\auth\Autenticacao.css", "PostCSS", 0, 0, 0, 170, 0, 0, 0, 27, 28, 225
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\auth\Login.jsx", "JavaScript JSX", 0, 0, 84, 0, 0, 0, 0, 2, 16, 102
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\auth\RecuperarSenha.jsx", "JavaScript JSX", 0, 0, 75, 0, 0, 0, 0, 2, 13, 90
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\BoletimBloqueio.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\BoletimLira.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\BoletimPE.jsx", "JavaScript JSX", 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\BoletimRotina.jsx", "JavaScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\FormularioBoletimBase.css", "PostCSS", 0, 0, 0, 182, 0, 0, 0, 25, 37, 244
"c:\Users\JOAO.BRANDAO\sistema-uvz-frontend\src\features\campo\FormularioBoletimBase.jsx", "JavaScript JSX", 0, 0, 707, 0, 0, 0, 0, 44, 72, 823
